date,ticker,side,price,shares,notional,cash_after,pnl,entry_date,entry_price
2010-02-17,AMGN,BUY,57.20000076293945,3.4965034498667755,200.0,9800.0,,,
2010-02-17,BAC,BUY,15.65999984741211,12.771392206178787,200.0,9600.0,,,
2010-02-17,C,BUY,34.099998474121094,5.865102901743015,200.0,9400.0,,,
2010-02-17,CINF,BUY,26.51000022888184,7.544322831883875,200.0,9200.0,,,
2010-02-17,CL,BUY,40.59999847412109,4.92610855952328,200.0,9000.0,,,
2010-02-17,DE,BUY,56.47999954223633,3.541076515952128,200.0,8800.0,,,
2010-02-17,DHR,BUY,25.28175163269043,7.910844268456111,200.0,8600.0,,,
2010-02-17,DIS,BUY,30.86000061035156,6.480881271690992,200.0,8400.0,,,
2010-02-17,DOV,BUY,29.79641914367676,6.712215955736512,200.0,8200.0,,,
2010-02-17,FISV,BUY,11.779999732971191,16.977929077554855,200.0,8000.0,,,
2010-02-17,GIS,BUY,35.48500061035156,5.636184206282828,200.0,7800.0,,,
2010-02-17,HPQ,BUY,22.761125564575195,8.786911676779052,200.0,7600.0,,,
2010-02-17,IPG,BUY,6.980000019073486,28.653295050642086,200.0,7400.0,,,
2010-02-17,IRM,BUY,21.765249252319336,9.188959780862042,200.0,7200.0,,,
2010-02-17,JNJ,BUY,63.97999954223633,3.1259768901368967,200.0,7000.0,,,
2010-02-17,KIM,BUY,13.420000076293944,14.903129572502346,200.0,6800.0,,,
2010-02-17,KO,BUY,27.665000915527344,7.229350926489483,200.0,6600.0,,,
2010-02-17,LH,BUY,62.84364318847656,3.182501679607801,200.0,6400.0,,,
2010-02-17,LMT,BUY,76.37000274658203,2.6188292890817144,200.0,6200.0,,,
2010-02-17,MKC,BUY,18.559999465942383,10.775862379037251,200.0,6000.0,,,
2010-02-17,NKE,BUY,16.1200008392334,12.40694724489302,200.0,5800.0,,,
2010-02-17,NOV,BUY,39.97294998168945,5.003383540409569,200.0,5600.0,,,
2010-02-17,NTRS,BUY,51.84000015258789,3.8580246800021634,200.0,5400.0,,,
2010-02-17,ORCL,BUY,24.18000030517578,8.27129848948718,200.0,5200.0,,,
2010-02-17,PAYX,BUY,30.07999992370605,6.648936187076915,200.0,5000.0,,,
2010-02-17,PNW,BUY,36.650001525878906,5.457025693676387,200.0,4800.0,,,
2010-02-17,PSA,BUY,78.75,2.5396825396825395,200.0,4600.0,,,
2010-02-17,UNM,BUY,20.530000686645508,9.741840882163114,200.0,4400.0,,,
2010-02-17,VRSN,BUY,24.1200008392334,8.291873675007574,200.0,4200.0,,,
2010-02-17,WM,BUY,33.0,6.0606060606060606,200.0,4000.0,,,
2010-02-18,ADI,BUY,29.56999969482422,6.801430811068127,201.11830700765256,3798.8816929923473,,,
